index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
New Salem,0.92,0.88,0.79,0.76,0.58,0.99,0.73,0.76,0.8
Newbury,0.87,0.91,0.89,0.82,0.87,0.85,0.73,0.77,0.84
Newburyport,0.82,0.85,0.77,0.87,0.83,0.53,0.69,0.67,0.75
Newton,0.75,0.66,0.83,0.88,0.91,0.57,0.66,0.81,0.76
Norfolk,0.85,0.75,0.9,0.82,0.45,0.93,0.77,0.84,0.79
North Adams,0.73,0.85,0.38,0.38,0.47,0.83,0.59,0.18,0.55
North Andover,0.91,0.82,0.8,0.86,0.78,0.76,0.67,0.83,0.8
North Attleborough,0.89,0.81,0.76,0.75,0.67,0.91,0.61,0.71,0.76
North Brookfield,0.9,0.89,0.73,0.52,0.55,0.96,0.66,0.78,0.75
North Reading,0.91,0.87,0.88,0.83,0.78,0.92,0.67,0.83,0.84
Northampton,0.64,0.79,0.59,0.73,0.8,0.51,0.52,0.5,0.64
Northborough,0.89,0.83,0.85,0.79,0.81,0.87,0.68,0.79,0.81
Northbridge,0.88,0.84,0.71,0.64,0.69,0.92,0.64,0.7,0.75
Northfield,0.95,0.92,0.78,0.68,0.68,0.99,0.68,0.68,0.8
Norton,0.85,0.88,0.81,0.73,0.64,0.94,0.75,0.9,0.81
Norwell,0.86,0.88,0.91,0.92,0.8,0.54,0.7,0.86,0.81
Norwood,0.83,0.75,0.69,0.7,0.72,0.62,0.55,0.69,0.69
Oak Bluffs,0.94,0.81,0.73,0.74,0.8,0.71,0.63,0.73,0.76
Oakham,0.91,0.91,0.81,0.68,0.65,0.97,0.81,0.84,0.82
Orange,0.87,0.9,0.54,0.35,0.42,0.96,0.48,0.63,0.64
Orleans,0.82,0.93,0.71,0.85,0.62,0.78,0.75,0.7,0.77
Otis,0.94,0.92,0.66,0.57,0.46,0.97,0.75,0.56,0.73
Oxford,0.95,0.83,0.66,0.62,0.65,0.95,0.61,0.7,0.75
Palmer,0.87,0.88,0.55,0.57,0.5,0.81,0.52,0.56,0.66
Paxton,0.89,0.86,0.82,0.78,0.74,0.95,0.63,0.86,0.82
Peabody,0.86,0.78,0.64,0.57,0.58,0.69,0.59,0.68,0.67
Pelham,0.93,0.89,0.88,0.76,0.94,0.96,0.74,0.79,0.86
Pembroke,0.93,0.86,0.82,0.76,0.7,0.9,0.61,0.79,0.8
Pepperell,0.93,0.91,0.78,0.71,0.69,0.94,0.63,0.71,0.79
Peru,0.96,0.9,0.71,0.57,0.56,1.0,0.81,0.77,0.78
Petersham,0.92,0.91,0.79,0.62,0.57,0.98,0.68,0.84,0.79
Phillipston,0.94,0.91,0.76,0.57,0.45,0.98,0.65,0.7,0.75
Pittsfield,0.86,0.82,0.46,0.44,0.53,0.61,0.57,0.35,0.58
Plainfield,0.9,0.87,0.73,0.81,0.69,0.96,0.55,0.87,0.8
Plainville,0.91,0.89,0.82,0.72,0.68,0.87,0.65,0.73,0.78
Plymouth,0.89,0.85,0.75,0.67,0.57,0.78,0.63,0.72,0.73
Plympton,0.93,0.89,0.8,0.72,0.58,0.91,0.64,0.8,0.78
Princeton,0.95,0.87,0.84,0.84,0.75,0.96,0.81,0.82,0.86
Provincetown,0.27,0.88,0.64,0.62,0.4,0.74,0.62,0.05,0.53
Quincy,0.66,0.61,0.67,0.56,0.64,0.82,0.37,0.61,0.62
Randolph,0.86,0.53,0.54,0.41,0.52,0.94,0.51,0.64,0.62
Raynham,0.92,0.83,0.72,0.75,0.72,0.83,0.65,0.69,0.76
Reading,0.85,0.83,0.86,0.89,0.82,0.88,0.73,0.8,0.83
Rehoboth,0.91,0.87,0.88,0.75,0.69,0.96,0.71,0.76,0.82
Revere,0.61,0.51,0.55,0.35,0.4,0.92,0.22,0.56,0.52
Richmond,0.89,0.93,0.86,0.86,0.76,0.94,0.89,0.83,0.87
Rochester,0.93,0.88,0.81,0.72,0.66,0.97,0.76,0.73,0.81
Rockland,0.89,0.85,0.75,0.62,0.53,0.92,0.57,0.64,0.72
Rockport,0.82,0.9,0.78,0.78,0.74,0.93,0.62,0.84,0.8
Rowe,0.73,0.9,0.79,0.48,0.73,0.98,0.79,0.86,0.78
Rowley,0.85,0.85,0.8,0.73,0.74,0.93,0.76,0.77,0.8
Royalston,0.92,0.89,0.68,0.36,0.45,0.99,0.73,0.65,0.71
Russell,0.94,0.87,0.74,0.59,0.72,1.0,0.77,0.6,0.78
Rutland,0.95,0.89,0.81,0.82,0.75,0.95,0.72,0.65,0.82
Salem,0.68,0.65,0.5,0.45,0.65,0.68,0.36,0.48,0.56
Salisbury,0.88,0.92,0.65,0.71,0.49,0.94,0.57,0.56,0.72
Sandisfield,0.88,0.89,0.84,0.6,0.57,0.92,0.84,0.62,0.77
Sandwich,0.93,0.87,0.8,0.78,0.66,0.87,0.66,0.7,0.78
Saugus,0.86,0.84,0.7,0.57,0.57,0.94,0.6,0.62,0.71
Savoy,0.95,0.89,0.66,0.47,0.42,1.0,0.64,0.8,0.73
Scituate,0.83,0.89,0.83,0.87,0.76,0.89,0.76,0.74,0.82
Seekonk,0.91,0.89,0.75,0.73,0.66,0.94,0.78,0.66,0.79
Sharon,0.82,0.79,0.88,0.89,0.96,0.92,0.7,0.83,0.85
Sheffield,0.87,0.92,0.72,0.72,0.55,0.97,0.76,0.67,0.77
Shelburne,0.85,0.92,0.68,0.61,0.66,0.82,0.66,0.81,0.75
Sherborn,0.86,0.87,0.87,0.92,1.0,0.94,0.8,0.84,0.89
Shirley,0.91,0.62,0.68,0.61,0.17,0.91,0.51,0.73,0.64
Shrewsbury,0.91,0.71,0.85,0.78,0.77,0.8,0.57,0.87,0.78
Shutesbury,0.92,0.88,0.67,0.8,0.89,0.99,0.69,0.74,0.82
Somerset,0.94,0.88,0.76,0.65,0.55,0.92,0.69,0.68,0.76
Somerville,0.2,0.55,0.65,0.64,0.77,0.88,0.32,0.72,0.59
South Hadley,0.83,0.85,0.69,0.71,0.74,0.91,0.63,0.68,0.76
Southampton,0.95,0.9,0.8,0.72,0.65,0.95,0.76,0.77,0.81
Southborough,0.91,0.83,0.87,0.88,0.81,0.73,0.81,0.81,0.83
Southbridge,0.83,0.59,0.29,0.13,0.4,0.78,0.45,0.5,0.5
Southwick,0.91,0.91,0.79,0.54,0.61,0.93,0.71,0.76,0.77
Spencer,0.86,0.86,0.62,0.34,0.57,0.92,0.59,0.79,0.69
Springfield,0.76,0.45,0.0,0.16,0.42,0.58,0.35,0.15,0.36
Sterling,0.95,0.86,0.81,0.8,0.69,0.9,0.66,0.74,0.8
Stockbridge,0.78,0.88,0.76,0.68,0.68,0.71,0.72,0.59,0.72
Stoneham,0.88,0.84,0.81,0.74,0.76,0.74,0.62,0.75,0.77
Stoughton,0.86,0.73,0.71,0.64,0.6,0.85,0.54,0.62,0.69
Stow,0.92,0.85,0.92,0.84,0.93,0.96,0.78,0.81,0.88
Sturbridge,0.94,0.86,0.8,0.81,0.79,0.9,0.67,0.61,0.8
Sudbury,0.91,0.81,0.89,0.94,0.9,0.88,0.86,0.84,0.88
Sunderland,0.8,0.83,0.72,0.7,0.71,0.95,0.43,0.74,0.74
Sutton,0.9,0.88,0.84,0.78,0.75,0.96,0.78,0.74,0.83
Swampscott,0.84,0.8,0.76,0.8,0.81,0.85,0.54,0.72,0.76
Swansea,0.96,0.91,0.79,0.68,0.54,0.88,0.71,0.65,0.77
Taunton,0.89,0.78,0.51,0.48,0.53,0.83,0.52,0.71,0.66
Templeton,0.96,0.91,0.74,0.57,0.55,0.9,0.73,0.75,0.76
Tewksbury,0.93,0.86,0.79,0.73,0.67,0.82,0.69,0.67,0.77
Tisbury,0.58,0.81,0.83,0.69,0.46,0.78,0.58,0.57,0.66
Tolland,0.91,0.93,0.85,0.62,0.61,1.0,0.88,0.7,0.81
Topsfield,0.93,0.88,0.92,0.9,0.81,0.92,0.71,0.84,0.86
Townsend,0.94,0.86,0.81,0.75,0.71,0.97,0.68,0.83,0.82
Truro,0.88,0.96,0.77,0.59,0.51,0.97,0.75,0.41,0.73
Tyngsborough,0.93,0.87,0.79,0.79,0.69,0.96,0.7,0.73,0.81
Tyringham,0.81,0.93,0.84,0.75,0.71,0.99,0.87,0.73,0.83
Upton,0.92,0.85,0.85,0.82,0.77,0.92,0.7,0.77,0.82
Uxbridge,0.93,0.86,0.74,0.69,0.55,0.9,0.68,0.66,0.75
Wakefield,0.86,0.82,0.82,0.8,0.75,0.9,0.65,0.74,0.79
Wales,0.94,0.9,0.68,0.52,0.57,0.99,0.62,0.87,0.76
Walpole,0.84,0.83,0.85,0.84,0.71,0.88,0.7,0.69,0.79
Waltham,0.76,0.64,0.73,0.58,0.67,0.8,0.4,0.73,0.66
Ware,0.89,0.87,0.54,0.44,0.46,0.86,0.6,0.55,0.65
Wareham,0.94,0.83,0.6,0.38,0.52,0.82,0.66,0.54,0.66
Warren,0.97,0.9,0.61,0.57,0.46,0.97,0.61,0.57,0.71
Warwick,0.95,0.93,0.79,0.58,0.6,0.99,0.75,0.7,0.79
Washington,0.9,0.92,0.88,0.6,0.72,0.96,1.0,0.73,0.84
Watertown,0.67,0.66,0.77,0.75,0.84,0.81,0.56,0.74,0.73
Wayland,0.88,0.82,0.91,0.95,1.0,0.88,0.84,0.9,0.9
Webster,0.87,0.78,0.52,0.45,0.49,0.87,0.46,0.46,0.61
Wellesley,0.74,0.74,0.85,0.98,0.93,0.6,0.77,0.84,0.81
Wellfleet,0.74,0.93,0.7,0.76,0.35,0.8,0.68,0.71,0.71
Wendell,0.87,0.89,0.47,0.65,0.55,0.99,0.61,0.67,0.71
Wenham,0.72,0.84,0.86,0.94,0.76,0.98,0.7,0.88,0.84
West Boylston,0.9,0.76,0.77,0.61,0.0,0.83,0.54,0.71,0.64
West Bridgewater,0.89,0.87,0.81,0.8,0.57,0.85,0.58,0.67,0.76
West Brookfield,0.9,0.9,0.8,0.74,0.5,0.9,0.58,0.67,0.75
West Newbury,0.93,0.9,0.89,0.82,0.86,0.97,0.81,0.72,0.86
West Springfield,0.87,0.73,0.54,0.54,0.55,0.8,0.34,0.35,0.59
West Stockbridge,0.87,0.9,0.75,0.73,0.77,0.88,0.82,0.79,0.81
West Tisbury,0.83,0.86,0.89,0.66,0.8,0.94,0.77,0.67,0.8
Westborough,0.88,0.74,0.83,0.85,0.83,0.77,0.42,0.76,0.76
Westfield,0.91,0.81,0.63,0.59,0.53,0.86,0.53,0.67,0.69
Westford,0.94,0.81,0.89,0.92,0.87,0.87,0.75,0.85,0.86
Westhampton,0.93,0.9,0.85,0.72,0.6,1.0,0.77,0.91,0.84
Westminster,0.91,0.91,0.86,0.77,0.77,0.91,0.76,0.76,0.83
Weston,0.83,0.78,0.83,1.0,0.93,0.74,0.84,0.86,0.85
Westport,0.95,0.86,0.82,0.66,0.6,0.93,0.74,0.74,0.79
