index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Medfield,0.88,0.6,0.5,0.59,0.89,0.73,0.47,0.93,0.7
Medford,0.71,0.52,0.51,0.57,0.62,0.6,0.64,0.89,0.63
Medway,0.95,0.52,0.26,0.63,0.72,0.78,0.59,0.89,0.67
Melrose,0.82,0.55,0.46,0.64,0.72,0.64,0.48,0.89,0.65
Mendon,0.94,0.64,0.13,0.67,0.61,0.84,0.24,0.85,0.61
Merrimac,0.91,0.7,0.37,0.44,0.61,0.9,0.31,0.89,0.64
Methuen,0.92,0.54,0.36,0.71,0.35,0.56,0.6,0.85,0.61
Middleborough,0.96,0.6,0.28,0.66,0.37,0.67,0.39,0.86,0.6
Middlefield,0.98,0.8,0.45,0.78,0.41,0.94,0.19,0.91,0.68
Middleton,0.9,0.6,0.55,0.54,0.49,0.72,0.61,0.89,0.66
Milford,0.85,0.54,0.26,0.7,0.47,0.32,0.48,0.88,0.56
Millbury,0.91,0.64,0.47,0.65,0.45,0.71,0.62,0.88,0.67
Millis,0.9,0.63,0.43,0.57,0.59,0.78,0.54,0.92,0.67
Millville,0.94,0.6,0.27,0.68,0.44,0.94,0.33,0.88,0.64
Milton,0.81,0.4,0.42,0.62,0.79,0.75,0.54,0.89,0.65
Monroe,1.0,0.77,0.52,0.87,0.59,0.85,0.67,0.9,0.77
Monson,0.97,0.67,0.16,0.56,0.3,0.8,0.32,0.82,0.57
Montague,0.85,0.65,0.49,0.55,0.24,0.6,0.74,0.86,0.62
Monterey,0.77,0.73,0.67,0.49,0.54,0.97,0.48,0.86,0.69
Montgomery,0.96,0.76,0.22,0.35,0.37,0.91,0.42,0.9,0.61
Mount Washington,0.75,1.0,0.87,0.29,0.43,0.95,0.61,0.9,0.73
Nahant,0.93,0.75,0.63,0.6,0.69,0.89,0.57,0.86,0.74
Nantucket,0.6,0.47,0.56,0.6,0.43,0.6,0.61,0.83,0.59
Natick,0.87,0.52,0.47,0.61,0.82,0.64,0.54,0.89,0.67
Needham,0.86,0.51,0.61,0.58,0.89,0.43,0.33,0.88,0.64
New Ashford,0.96,0.72,0.14,0.83,0.41,0.86,0.31,0.83,0.63
New Bedford,0.75,0.52,0.54,0.78,0.17,0.52,0.63,0.78,0.59
New Braintree,0.96,0.61,0.33,0.92,0.46,0.91,0.16,0.83,0.65
New Marlborough,0.91,0.74,0.5,0.32,0.45,0.88,0.4,0.93,0.64
New Salem,0.92,0.62,0.26,0.55,0.45,0.9,0.44,0.96,0.64
Newbury,0.91,0.67,0.39,0.51,0.62,0.63,0.49,0.86,0.64
Newburyport,0.87,0.64,0.51,0.58,0.74,0.43,0.46,0.87,0.64
Newton,0.78,0.48,0.61,0.55,0.89,0.46,0.46,0.89,0.64
Norfolk,0.9,0.52,0.22,0.54,0.61,0.8,0.44,0.89,0.62
North Adams,0.74,0.61,0.59,0.66,0.32,0.56,0.49,0.81,0.6
North Andover,0.94,0.57,0.53,0.67,0.72,0.54,0.44,0.86,0.66
North Attleborough,0.91,0.53,0.34,0.66,0.49,0.72,0.41,0.89,0.62
North Brookfield,0.93,0.64,0.12,0.7,0.28,0.87,0.26,0.82,0.58
North Reading,0.94,0.61,0.26,0.56,0.69,0.79,0.42,0.87,0.64
Northampton,0.67,0.6,0.69,0.59,0.67,0.22,0.63,0.84,0.61
Northborough,0.93,0.57,0.44,0.58,0.75,0.63,0.43,0.87,0.65
Northbridge,0.9,0.57,0.45,0.68,0.52,0.6,0.36,0.87,0.62
Northfield,0.93,0.67,0.27,0.9,0.6,0.95,0.49,0.83,0.7
Norton,0.88,0.65,0.16,0.65,0.5,0.76,0.31,0.9,0.6
Norwell,0.9,0.61,0.44,0.59,0.78,0.1,0.62,0.89,0.62
Norwood,0.86,0.52,0.31,0.6,0.58,0.39,0.47,0.86,0.57
Oak Bluffs,0.97,0.55,0.45,0.57,0.64,0.54,0.77,0.8,0.66
Oakham,0.91,0.7,0.14,0.58,0.52,0.84,0.3,0.89,0.61
Orange,0.87,0.66,0.4,0.62,0.25,0.8,0.8,0.86,0.66
Orleans,0.85,0.78,0.6,0.31,0.43,0.5,0.52,0.87,0.61
Otis,0.95,0.74,0.41,0.77,0.36,0.7,0.32,0.78,0.63
Oxford,0.97,0.54,0.25,0.72,0.49,0.75,0.54,0.87,0.64
Palmer,0.88,0.65,0.42,0.63,0.34,0.66,0.73,0.81,0.64
Paxton,0.92,0.63,0.21,0.56,0.65,0.89,0.58,0.88,0.66
Peabody,0.87,0.64,0.46,0.68,0.36,0.39,0.53,0.87,0.6
Pelham,0.96,0.67,0.33,0.43,0.81,0.83,0.39,0.9,0.66
Pembroke,0.95,0.58,0.1,0.66,0.54,0.79,0.52,0.88,0.63
Pepperell,0.97,0.65,0.41,0.68,0.56,0.79,0.53,0.87,0.68
