index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Watertown,0.19,0.47,0.28,0.47,0.86,0.22,0.24,0.54,0.41
Wayland,0.2,0.48,0.45,0.79,0.76,0.21,0.34,0.63,0.48
Webster,0.2,0.48,0.19,0.38,0.46,0.1,0.17,0.25,0.28
Wellesley,0.19,0.43,0.11,0.79,0.44,0.51,0.76,0.62,0.48
Wellfleet,0.21,0.88,0.35,0.51,0.22,0.32,0.2,0.58,0.41
Wendell,0.21,0.96,0.07,0.43,0.51,0.01,0.07,0.31,0.32
Wenham,0.19,0.53,0.02,0.59,0.45,0.07,0.43,0.63,0.36
West Boylston,0.2,0.57,0.17,0.54,0.11,0.19,0.17,0.52,0.31
West Bridgewater,0.2,0.52,0.24,0.5,0.57,0.29,0.24,0.53,0.39
West Brookfield,0.3,0.95,0.1,0.29,0.48,0.16,0.11,0.57,0.37
West Newbury,0.22,0.74,0.55,0.39,0.71,0.01,0.66,0.52,0.48
West Springfield,0.2,0.46,0.2,0.45,0.61,0.35,0.12,0.4,0.35
West Stockbridge,0.17,0.94,0.2,0.45,0.85,0.01,0.16,0.73,0.44
West Tisbury,0.23,0.97,0.11,1.0,0.48,0.01,0.54,0.48,0.48
Westborough,0.19,0.47,0.28,0.74,0.78,0.43,0.23,0.55,0.46
Westfield,0.2,0.49,0.19,0.44,0.55,0.14,0.15,0.5,0.33
Westford,0.2,0.45,0.14,0.72,0.83,0.27,0.29,0.61,0.44
Westhampton,0.3,0.95,0.08,0.89,0.94,0.01,0.15,0.51,0.48
Westminster,0.19,0.74,0.15,0.45,0.83,0.07,0.16,0.56,0.39
Weston,0.21,0.46,0.13,0.77,0.44,0.3,0.86,0.61,0.47
Westport,0.19,0.71,0.21,0.52,0.46,0.14,0.15,0.55,0.37
