index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
North Brookfield,0.06,0.73,0.29,0.39,0.67,0.02,0.12,0.66,0.37
North Reading,0.06,0.72,0.36,0.55,0.77,0.14,0.23,0.85,0.46
Northampton,0.06,0.71,0.13,0.65,0.63,0.44,0.13,0.49,0.4
Northborough,0.06,0.71,0.24,0.66,0.77,0.28,0.23,0.81,0.47
Northbridge,0.05,0.66,0.23,0.4,0.76,0.14,0.13,0.72,0.39
Northfield,0.05,0.81,0.21,0.63,0.66,0.01,0.04,0.7,0.39
Norton,0.06,0.76,0.26,0.49,0.82,0.09,0.09,0.91,0.44
Norwell,0.05,0.75,0.49,0.6,0.66,0.47,0.39,0.87,0.54
Norwood,0.06,0.61,0.23,0.5,0.71,0.42,0.18,0.71,0.43
Oak Bluffs,0.07,0.71,0.47,0.3,0.72,0.11,0.18,0.77,0.42
Oakham,0.06,0.79,0.05,0.64,0.71,0.01,0.1,0.84,0.4
Orange,0.06,0.74,0.23,0.31,0.29,0.12,0.05,0.62,0.3
Orleans,0.08,0.97,0.1,0.47,0.13,0.43,0.3,0.73,0.4
Otis,0.11,0.85,0.14,0.4,0.55,0.18,0.12,0.68,0.38
Oxford,0.06,0.66,0.29,0.32,0.75,0.1,0.1,0.71,0.37
Palmer,0.05,0.76,0.2,0.43,0.49,0.18,0.09,0.53,0.34
Paxton,0.06,0.76,0.26,0.44,0.63,0.12,0.14,0.87,0.41
Peabody,0.06,0.69,0.2,0.38,0.57,0.38,0.27,0.7,0.41
Pelham,0.07,0.8,0.2,0.64,0.59,0.0,0.17,0.88,0.42
Pembroke,0.06,0.69,0.28,0.54,0.86,0.1,0.15,0.8,0.44
Pepperell,0.05,0.78,0.26,0.44,0.74,0.1,0.18,0.71,0.41
Peru,0.12,0.73,0.06,0.48,0.84,0.0,0.06,0.7,0.37
Petersham,0.07,0.83,0.16,0.42,0.42,0.01,0.12,0.81,0.36
Phillipston,0.07,0.77,0.24,0.34,0.5,0.02,0.08,0.83,0.36
Pittsfield,0.06,0.71,0.17,0.39,0.51,0.35,0.08,0.33,0.32
Plainfield,0.09,0.87,0.26,0.36,0.78,0.01,0.11,0.64,0.39
Plainville,0.06,0.73,0.43,0.5,0.9,0.23,0.23,0.76,0.48
Plymouth,0.06,0.73,0.18,0.39,0.62,0.24,0.16,0.73,0.39
Plympton,0.04,0.74,0.06,0.35,0.59,0.02,0.18,0.81,0.35
Princeton,0.06,0.71,0.01,0.52,0.73,0.02,0.18,0.84,0.38
Provincetown,0.1,0.88,0.24,0.33,0.4,0.18,0.32,0.04,0.31
Quincy,0.06,0.48,0.17,0.46,0.67,0.31,0.21,0.62,0.37
Randolph,0.05,0.5,0.16,0.3,0.35,0.13,0.18,0.64,0.29
Raynham,0.06,0.68,0.1,0.49,0.72,0.31,0.14,0.71,0.4
Reading,0.05,0.68,0.16,0.58,0.79,0.21,0.26,0.82,0.44
Rehoboth,0.05,0.74,0.18,0.49,0.86,0.11,0.17,0.77,0.42
Revere,0.06,0.42,0.2,0.28,0.41,0.18,0.16,0.56,0.28
Richmond,0.07,0.88,0.28,0.73,0.56,0.02,0.16,0.87,0.45
Rochester,0.09,0.76,0.31,0.48,0.71,0.02,0.16,0.73,0.41
Rockland,0.06,0.7,0.26,0.43,0.78,0.07,0.17,0.77,0.4
Rockport,0.06,0.81,0.23,0.47,0.42,0.1,0.72,0.84,0.46
Rowe,0.11,0.78,0.48,0.36,0.47,0.01,0.07,0.72,0.38
Rowley,0.07,0.69,0.0,0.42,0.7,0.16,0.3,0.78,0.39
Royalston,0.07,0.71,0.12,0.36,0.58,0.0,0.07,0.7,0.33
Russell,0.1,0.73,0.22,0.53,0.65,0.01,0.07,0.73,0.38
Rutland,0.06,0.73,0.21,0.62,0.77,0.06,0.17,0.64,0.41
Salem,0.06,0.57,0.17,0.19,0.69,0.3,0.18,0.49,0.33
Salisbury,0.06,0.83,0.14,0.46,0.46,0.12,0.12,0.55,0.34
Sandisfield,0.1,0.8,0.27,0.48,0.46,0.0,0.12,0.78,0.38
Sandwich,0.06,0.73,0.15,0.47,0.63,0.2,0.18,0.71,0.39
Saugus,0.06,0.74,0.14,0.36,0.58,0.16,0.25,0.65,0.37
Savoy,0.06,0.79,0.23,0.47,0.59,0.0,0.06,0.81,0.38
Scituate,0.06,0.77,0.16,0.56,0.62,0.16,0.3,0.77,0.43
Seekonk,0.07,0.78,0.21,0.47,0.76,0.21,0.24,0.71,0.43
Sharon,0.05,0.68,0.39,0.75,0.8,0.2,0.31,0.84,0.5
Sheffield,0.06,0.82,0.1,0.54,0.64,0.09,0.15,0.84,0.4
Shelburne,0.06,0.86,0.14,0.38,0.39,0.21,0.1,0.83,0.37
Sherborn,0.08,0.78,0.18,0.79,0.65,0.14,0.43,0.85,0.49
